sex,race_eth,age_group,year,population
female,black,70-74,2012,31314
female,black,70-74,2013,31928
female,black,70-74,2014,32624
female,black,70-74,2015,33282
female,black,70-74,2016,34024
female,black,70-74,2017,35110
female,black,70-74,2018,36711
female,black,70-74,2019,38862
female,black,70-74,2020,39798
female,black,75-79,2000,81048.53009014501
female,black,75-79,2001,41172.232209148
female,black,75-79,2002,41721.88093833
female,black,75-79,2003,41900.838406895
female,black,75-79,2004,41913.592853445
female,black,75-79,2005,41696.403868454996
female,black,75-79,2006,41683.190552355
female,black,75-79,2007,41542.612850926
female,black,75-79,2008,41414.96685436
female,black,75-79,2009,42385.843897379
female,black,75-79,2010,64515.251750939
female,black,75-79,2011,22348
female,black,75-79,2012,22917
female,black,75-79,2013,23404
female,black,75-79,2014,23886
female,black,75-79,2015,24367
female,black,75-79,2016,24819
female,black,75-79,2017,25468
female,black,75-79,2018,26271
female,black,75-79,2019,27304
female,black,75-79,2020,27600
female,black,80-84,2000,51761.196355495995
female,black,80-84,2001,27230.373669028002
female,black,80-84,2002,27938.629904921003
female,black,80-84,2003,28646.124762962005
female,black,80-84,2004,29174.078640933003
female,black,80-84,2005,29736.763636937998
female,black,80-84,2006,30041.440039533
female,black,80-84,2007,30495.514154634002
female,black,80-84,2008,30816.988703464005
female,black,80-84,2009,30958.558990187004
female,black,80-84,2010,46417.520342742
female,black,80-84,2011,15656
female,black,80-84,2012,15728
female,black,80-84,2013,15807
female,black,80-84,2014,15988
female,black,80-84,2015,16335
female,black,80-84,2016,16765
female,black,80-84,2017,17233
female,black,80-84,2018,17813
female,black,80-84,2019,18498
female,black,80-84,2020,18965
female,black,85-89,2000,29372.792543233
female,black,85-89,2001,15277.077807177002
female,black,85-89,2002,15612.314914412002
female,black,85-89,2003,16002.12673722
female,black,85-89,2004,16074.745128096001
female,black,85-89,2005,16129.277770099998
female,black,85-89,2006,16631.642562665
female,black,85-89,2007,17011.828704804
female,black,85-89,2008,17523.908509719
female,black,85-89,2009,18307.145521360002
female,black,85-89,2010,28159.757637710998
female,black,85-89,2011,9757
female,black,85-89,2012,9910
female,black,85-89,2013,10025
female,black,85-89,2014,10104
female,black,85-89,2015,10168
female,black,85-89,2016,10158
female,black,85-89,2017,10244
female,black,85-89,2018,10329
female,black,85-89,2019,10497
female,black,85-89,2020,11254
female,black,90+,2000,16497.571552997
female,black,90+,2001,8041.571264547001
female,black,90+,2002,8350.497734543
female,black,90+,2003,8736.088355612
female,black,90+,2004,9153.761453035
female,black,90+,2005,9468.700499579001
female,black,90+,2006,9671.860691476999
female,black,90+,2007,9829.399772274002
female,black,90+,2008,10007.967730397
female,black,90+,2009,10593.123446495
female,black,90+,2010,15927.537385160998
female,black,90+,2011,5628
female,black,90+,2012,5820
female,black,90+,2013,6003
female,black,90+,2014,6186
female,black,90+,2015,6395
female,black,90+,2016,6497
female,black,90+,2017,6660
female,black,90+,2018,6804
female,black,90+,2019,6965
female,black,90+,2020,7515
female,hispanic,0-4,2000,2804850.9950799607
female,hispanic,0-4,2001,1427669.293786411
female,hispanic,0-4,2002,1457212.0777861031
female,hispanic,0-4,2003,1489837.448333095
female,hispanic,0-4,2004,1520462.6300807572
female,hispanic,0-4,2005,1544474.788229875
female,hispanic,0-4,2006,1564064.665678657
female,hispanic,0-4,2007,1574754.410470982
female,hispanic,0-4,2008,1581567.788797855
female,hispanic,0-4,2009,1576733.8570689752
female,hispanic,0-4,2010,2369105.826963776
female,hispanic,0-4,2011,787968
female,hispanic,0-4,2012,783314
female,hispanic,0-4,2013,774653
female,hispanic,0-4,2014,763809
female,hispanic,0-4,2015,750500
female,hispanic,0-4,2016,735586
female,hispanic,0-4,2017,721676
female,hispanic,0-4,2018,711905
female,hispanic,0-4,2019,713772
female,hispanic,0-4,2020,814948
female,hispanic,5-9,2000,2391660.378974942
female,hispanic,5-9,2001,1229576.6839487208
female,hispanic,5-9,2002,1245553.991220727
female,hispanic,5-9,2003,1255343.567160279
female,hispanic,5-9,2004,1256590.440581596
female,hispanic,5-9,2005,1253046.256506894
female,hispanic,5-9,2006,1251708.217252882
female,hispanic,5-9,2007,1259630.476309086
female,hispanic,5-9,2008,1267031.2356532752
female,hispanic,5-9,2009,1258041.154372598
female,hispanic,5-9,2010,1898069.322274424
female,hispanic,5-9,2011,647606
female,hispanic,5-9,2012,662211
female,hispanic,5-9,2013,678949
female,hispanic,5-9,2014,696161
female,hispanic,5-9,2015,708790
female,hispanic,5-9,2016,714039
female,hispanic,5-9,2017,710359
female,hispanic,5-9,2018,697385
female,hispanic,5-9,2019,680445
female,hispanic,5-9,2020,720857
female,hispanic,10-14,2000,1987358.7804854661
female,hispanic,10-14,2001,1065997.1015735231
female,hispanic,10-14,2002,1118777.197250008
female,hispanic,10-14,2003,1171122.858636345
female,hispanic,10-14,2004,1215665.871538523
female,hispanic,10-14,2005,1249447.5034349118
female,hispanic,10-14,2006,1275861.672177516
female,hispanic,10-14,2007,1291541.2989845802
female,hispanic,10-14,2008,1296484.247726591
female,hispanic,10-14,2009,1273879.8283903962
female,hispanic,10-14,2010,1925262.404339721
female,hispanic,10-14,2011,647290
female,hispanic,10-14,2012,654161
female,hispanic,10-14,2013,663243
female,hispanic,10-14,2014,674494
female,hispanic,10-14,2015,685717
female,hispanic,10-14,2016,696124
female,hispanic,10-14,2017,705234
female,hispanic,10-14,2018,711191
female,hispanic,10-14,2019,713879
female,hispanic,10-14,2020,747750
female,hispanic,15-19,2000,1896450.3223699292
