"","year","sex","age_group","cod","race_eth","deaths"
"260",2001,"female","30-34","all_cause","hispanic",216
"261",2001,"female","30-34","all_cause","white",358
"262",2001,"male","30-34","all_cause","black",234
"263",2001,"male","30-34","all_cause","hispanic",590
"264",2001,"male","30-34","all_cause","white",747
"265",2001,"female","35-39","all_cause","black",189
"266",2001,"female","35-39","all_cause","hispanic",339
"267",2001,"female","35-39","all_cause","white",689
"268",2001,"male","35-39","all_cause","black",306
"269",2001,"male","35-39","all_cause","hispanic",740
"270",2001,"male","35-39","all_cause","white",1225
"271",2001,"female","40-44","all_cause","black",296
"272",2001,"female","40-44","all_cause","hispanic",415
"273",2001,"female","40-44","all_cause","white",1114
"274",2001,"male","40-44","all_cause","black",456
"275",2001,"male","40-44","all_cause","hispanic",858
"276",2001,"male","40-44","all_cause","white",2018
"277",2001,"female","45-49","all_cause","black",446
"278",2001,"female","45-49","all_cause","hispanic",527
"279",2001,"female","45-49","all_cause","white",1605
"280",2001,"male","45-49","all_cause","black",600
"281",2001,"male","45-49","all_cause","hispanic",1008
"282",2001,"male","45-49","all_cause","white",2880
"283",2001,"female","5-9","all_cause","black",18
"284",2001,"female","5-9","all_cause","hispanic",64
"285",2001,"female","5-9","all_cause","white",62
"286",2001,"male","5-9","all_cause","black",27
"287",2001,"male","5-9","all_cause","hispanic",88
"288",2001,"male","5-9","all_cause","white",78
"289",2001,"female","50-54","all_cause","black",542
"290",2001,"female","50-54","all_cause","hispanic",636
"291",2001,"female","50-54","all_cause","white",2324
"292",2001,"male","50-54","all_cause","black",732
"293",2001,"male","50-54","all_cause","hispanic",1060
"294",2001,"male","50-54","all_cause","white",3742
"295",2001,"female","55-59","all_cause","black",534
"296",2001,"female","55-59","all_cause","hispanic",631
"297",2001,"female","55-59","all_cause","white",2738
"298",2001,"male","55-59","all_cause","black",694
"299",2001,"male","55-59","all_cause","hispanic",989
"300",2001,"male","55-59","all_cause","white",4237
"301",2001,"female","60-64","all_cause","black",588
"302",2001,"female","60-64","all_cause","hispanic",795
"303",2001,"female","60-64","all_cause","white",3480
"304",2001,"male","60-64","all_cause","black",809
"305",2001,"male","60-64","all_cause","hispanic",1093
"306",2001,"male","60-64","all_cause","white",4966
"307",2001,"female","65-69","all_cause","black",739
"308",2001,"female","65-69","all_cause","hispanic",1068
"309",2001,"female","65-69","all_cause","white",4917
"310",2001,"male","65-69","all_cause","black",960
"311",2001,"male","65-69","all_cause","hispanic",1346
"312",2001,"male","65-69","all_cause","white",6303
"313",2001,"female","70-74","all_cause","black",822
"314",2001,"female","70-74","all_cause","hispanic",1437
"315",2001,"female","70-74","all_cause","white",7540
"316",2001,"male","70-74","all_cause","black",967
"317",2001,"male","70-74","all_cause","hispanic",1623
"318",2001,"male","70-74","all_cause","white",8982
"319",2001,"female","75-79","all_cause","black",1026
"320",2001,"female","75-79","all_cause","hispanic",1644
"321",2001,"female","75-79","all_cause","white",12028
"322",2001,"male","75-79","all_cause","black",995
"323",2001,"male","75-79","all_cause","hispanic",1763
"324",2001,"male","75-79","all_cause","white",12472
"325",2001,"female","80-84","all_cause","black",1064
"326",2001,"female","80-84","all_cause","hispanic",1521
"327",2001,"female","80-84","all_cause","white",14861
"328",2001,"male","80-84","all_cause","black",882
"329",2001,"male","80-84","all_cause","hispanic",1435
"330",2001,"male","80-84","all_cause","white",13415
"331",2001,"female","85-89","all_cause","black",934
"332",2001,"female","85-89","all_cause","hispanic",1391
"333",2001,"female","85-89","all_cause","white",16022
"334",2001,"male","85-89","all_cause","black",545
"335",2001,"male","85-89","all_cause","hispanic",942
"336",2001,"male","85-89","all_cause","white",10918
"337",2001,"female","90+","all_cause","black",1013
"338",2001,"female","90+","all_cause","hispanic",1597
"339",2001,"female","90+","all_cause","white",18419
"340",2001,"male","90+","all_cause","black",395
"341",2001,"male","90+","all_cause","hispanic",757
"342",2001,"male","90+","all_cause","white",7159
"343",2002,"female","0-4","all_cause","black",195
"344",2002,"female","0-4","all_cause","hispanic",741
"345",2002,"female","0-4","all_cause","white",428
"346",2002,"male","0-4","all_cause","black",255
"347",2002,"male","0-4","all_cause","hispanic",891
"348",2002,"male","0-4","all_cause","white",600
"349",2002,"female","10-14","all_cause","black",19
"350",2002,"female","10-14","all_cause","hispanic",71
"351",2002,"female","10-14","all_cause","white",69
"352",2002,"male","10-14","all_cause","black",48
"353",2002,"male","10-14","all_cause","hispanic",97
"354",2002,"male","10-14","all_cause","white",92
"355",2002,"female","15-19","all_cause","black",35
"356",2002,"female","15-19","all_cause","hispanic",137
"357",2002,"female","15-19","all_cause","white",187
"358",2002,"male","15-19","all_cause","black",127
"359",2002,"male","15-19","all_cause","hispanic",488
"360",2002,"male","15-19","all_cause","white",369
"361",2002,"female","20-24","all_cause","black",62
"362",2002,"female","20-24","all_cause","hispanic",146
"363",2002,"female","20-24","all_cause","white",189
"364",2002,"male","20-24","all_cause","black",263
"365",2002,"male","20-24","all_cause","hispanic",711
"366",2002,"male","20-24","all_cause","white",515
"367",2002,"female","25-29","all_cause","black",53
"368",2002,"female","25-29","all_cause","hispanic",150
"369",2002,"female","25-29","all_cause","white",201
"370",2002,"male","25-29","all_cause","black",228
"371",2002,"male","25-29","all_cause","hispanic",609
"372",2002,"male","25-29","all_cause","white",483
"373",2002,"female","30-34","all_cause","black",140
"374",2002,"female","30-34","all_cause","hispanic",195
"375",2002,"female","30-34","all_cause","white",378
"376",2002,"male","30-34","all_cause","black",257
"377",2002,"male","30-34","all_cause","hispanic",621
"378",2002,"male","30-34","all_cause","white",706
"379",2002,"female","35-39","all_cause","black",194
"380",2002,"female","35-39","all_cause","hispanic",290
"381",2002,"female","35-39","all_cause","white",623
"382",2002,"male","35-39","all_cause","black",357
"383",2002,"male","35-39","all_cause","hispanic",710
"384",2002,"male","35-39","all_cause","white",1188
"385",2002,"female","40-44","all_cause","black",310
"386",2002,"female","40-44","all_cause","hispanic",415
"387",2002,"female","40-44","all_cause","white",1156
"388",2002,"male","40-44","all_cause","black",439
"389",2002,"male","40-44","all_cause","hispanic",945
"390",2002,"male","40-44","all_cause","white",1998
"391",2002,"female","45-49","all_cause","black",459
"392",2002,"female","45-49","all_cause","hispanic",552
"393",2002,"female","45-49","all_cause","white",1709
"394",2002,"male","45-49","all_cause","black",581
"395",2002,"male","45-49","all_cause","hispanic",1047
"396",2002,"male","45-49","all_cause","white",2886
"397",2002,"female","5-9","all_cause","black",18
"398",2002,"female","5-9","all_cause","hispanic",77
"399",2002,"female","5-9","all_cause","white",49
"400",2002,"male","5-9","all_cause","black",18
"401",2002,"male","5-9","all_cause","hispanic",106
"402",2002,"male","5-9","all_cause","white",61
"403",2002,"female","50-54","all_cause","black",502
"404",2002,"female","50-54","all_cause","hispanic",597
"405",2002,"female","50-54","all_cause","white",2222
"406",2002,"male","50-54","all_cause","black",750
"407",2002,"male","50-54","all_cause","hispanic",1115
"408",2002,"male","50-54","all_cause","white",3733
"409",2002,"female","55-59","all_cause","black",566
"410",2002,"female","55-59","all_cause","hispanic",604
"411",2002,"female","55-59","all_cause","white",2837
"412",2002,"male","55-59","all_cause","black",756
"413",2002,"male","55-59","all_cause","hispanic",1089
"414",2002,"male","55-59","all_cause","white",4461
"415",2002,"female","60-64","all_cause","black",590
"416",2002,"female","60-64","all_cause","hispanic",884
"417",2002,"female","60-64","all_cause","white",3581
"418",2002,"male","60-64","all_cause","black",863
"419",2002,"male","60-64","all_cause","hispanic",1135
"420",2002,"male","60-64","all_cause","white",4994
"421",2002,"female","65-69","all_cause","black",727
"422",2002,"female","65-69","all_cause","hispanic",1034
"423",2002,"female","65-69","all_cause","white",4638
"424",2002,"male","65-69","all_cause","black",903
"425",2002,"male","65-69","all_cause","hispanic",1304
