"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code",Deaths,Population,Crude Rate
,"15-19 years","15-19","2007","2007","Female","F",51,604871,8.4
,"15-19 years","15-19","2007","2007","Male","M",90,649553,13.9
,"15-19 years","15-19","2008","2008","Female","F",65,627232,10.4
,"15-19 years","15-19","2008","2008","Male","M",96,670642,14.3
,"15-19 years","15-19","2009","2009","Female","F",66,646788,10.2
,"15-19 years","15-19","2009","2009","Male","M",98,688217,14.2
,"15-19 years","15-19","2010","2010","Female","F",50,656442,7.6
,"15-19 years","15-19","2010","2010","Male","M",92,696238,13.2
,"15-19 years","15-19","2011","2011","Female","F",56,657413,8.5
,"15-19 years","15-19","2011","2011","Male","M",92,696205,13.2
,"15-19 years","15-19","2012","2012","Female","F",48,651121,7.4
,"15-19 years","15-19","2012","2012","Male","M",88,685614,12.8
,"15-19 years","15-19","2013","2013","Female","F",40,643712,6.2
,"15-19 years","15-19","2013","2013","Male","M",72,674237,10.7
,"15-19 years","15-19","2014","2014","Female","F",50,639802,7.8
,"15-19 years","15-19","2014","2014","Male","M",77,664392,11.6
,"15-19 years","15-19","2015","2015","Female","F",62,637112,9.7
,"15-19 years","15-19","2015","2015","Male","M",82,660711,12.4
,"15-19 years","15-19","2016","2016","Female","F",52,635775,8.2
,"15-19 years","15-19","2016","2016","Male","M",102,657180,15.5
,"15-19 years","15-19","2017","2017","Female","F",60,634931,9.4
,"15-19 years","15-19","2017","2017","Male","M",91,656388,13.9
,"20-24 years","20-24","1999","1999","Female","F",77,453221,17.0
,"20-24 years","20-24","1999","1999","Male","M",105,529882,19.8
,"20-24 years","20-24","2000","2000","Female","F",83,470167,17.7
,"20-24 years","20-24","2000","2000","Male","M",110,551509,19.9
,"20-24 years","20-24","2001","2001","Female","F",93,485619,19.2
,"20-24 years","20-24","2001","2001","Male","M",158,568662,27.8
,"20-24 years","20-24","2002","2002","Female","F",65,499021,13.0
,"20-24 years","20-24","2002","2002","Male","M",131,582698,22.5
,"20-24 years","20-24","2003","2003","Female","F",86,510927,16.8
,"20-24 years","20-24","2003","2003","Male","M",122,592385,20.6
,"20-24 years","20-24","2004","2004","Female","F",68,519373,13.1
,"20-24 years","20-24","2004","2004","Male","M",126,600408,21.0
,"20-24 years","20-24","2005","2005","Female","F",81,524196,15.5
,"20-24 years","20-24","2005","2005","Male","M",125,603262,20.7
,"20-24 years","20-24","2006","2006","Female","F",88,527964,16.7
,"20-24 years","20-24","2006","2006","Male","M",165,605268,27.3
,"20-24 years","20-24","2007","2007","Female","F",87,532402,16.3
,"20-24 years","20-24","2007","2007","Male","M",151,607338,24.9
,"20-24 years","20-24","2008","2008","Female","F",79,543617,14.5
,"20-24 years","20-24","2008","2008","Male","M",145,615020,23.6
,"20-24 years","20-24","2009","2009","Female","F",86,558413,15.4
,"20-24 years","20-24","2009","2009","Male","M",135,626773,21.5
,"20-24 years","20-24","2010","2010","Female","F",77,575551,13.4
,"20-24 years","20-24","2010","2010","Male","M",124,641028,19.3
,"20-24 years","20-24","2011","2011","Female","F",89,605278,14.7
,"20-24 years","20-24","2011","2011","Male","M",146,666050,21.9
,"20-24 years","20-24","2012","2012","Female","F",67,625420,10.7
,"20-24 years","20-24","2012","2012","Male","M",145,680781,21.3
,"20-24 years","20-24","2013","2013","Female","F",76,639936,11.9
,"20-24 years","20-24","2013","2013","Male","M",145,691807,21.0
,"20-24 years","20-24","2014","2014","Female","F",82,656849,12.5
,"20-24 years","20-24","2014","2014","Male","M",135,698054,19.3
,"20-24 years","20-24","2015","2015","Female","F",90,658092,13.7
,"20-24 years","20-24","2015","2015","Male","M",152,695482,21.9
,"20-24 years","20-24","2016","2016","Female","F",76,651723,11.7
,"20-24 years","20-24","2016","2016","Male","M",147,686006,21.4
,"20-24 years","20-24","2017","2017","Female","F",82,649075,12.6
,"20-24 years","20-24","2017","2017","Male","M",146,678018,21.5
,"25-29 years","25-29","1999","1999","Female","F",102,477940,21.3
,"25-29 years","25-29","1999","1999","Male","M",171,554152,30.9
,"25-29 years","25-29","2000","2000","Female","F",102,489376,20.8
,"25-29 years","25-29","2000","2000","Male","M",161,554421,29.0
,"25-29 years","25-29","2001","2001","Female","F",109,497102,21.9
,"25-29 years","25-29","2001","2001","Male","M",190,558149,34.0
,"25-29 years","25-29","2002","2002","Female","F",93,503124,18.5
,"25-29 years","25-29","2002","2002","Male","M",183,561368,32.6
,"25-29 years","25-29","2003","2003","Female","F",103,507632,20.3
,"25-29 years","25-29","2003","2003","Male","M",170,566120,30.0
,"25-29 years","25-29","2004","2004","Female","F",113,512981,22.0
,"25-29 years","25-29","2004","2004","Male","M",150,571862,26.2
,"25-29 years","25-29","2005","2005","Female","F",101,519368,19.4
,"25-29 years","25-29","2005","2005","Male","M",212,580808,36.5
,"25-29 years","25-29","2006","2006","Female","F",121,527272,22.9
,"25-29 years","25-29","2006","2006","Male","M",189,588931,32.1
,"25-29 years","25-29","2007","2007","Female","F",110,535851,20.5
,"25-29 years","25-29","2007","2007","Male","M",167,597093,28.0
,"25-29 years","25-29","2008","2008","Female","F",122,545878,22.3
,"25-29 years","25-29","2008","2008","Male","M",171,605018,28.3
,"25-29 years","25-29","2009","2009","Female","F",139,554306,25.1
,"25-29 years","25-29","2009","2009","Male","M",202,609737,33.1
,"25-29 years","25-29","2010","2010","Female","F",101,558578,18.1
,"25-29 years","25-29","2010","2010","Male","M",167,611480,27.3
,"25-29 years","25-29","2011","2011","Female","F",114,561015,20.3
,"25-29 years","25-29","2011","2011","Male","M",185,623033,29.7
,"25-29 years","25-29","2012","2012","Female","F",104,558819,18.6
,"25-29 years","25-29","2012","2012","Male","M",187,623463,30.0
,"25-29 years","25-29","2013","2013","Female","F",106,565454,18.7
,"25-29 years","25-29","2013","2013","Male","M",182,631960,28.8
,"25-29 years","25-29","2014","2014","Female","F",110,580211,19.0
,"25-29 years","25-29","2014","2014","Male","M",214,635703,33.7
,"25-29 years","25-29","2015","2015","Female","F",120,595938,20.1
,"25-29 years","25-29","2015","2015","Male","M",212,647910,32.7
,"25-29 years","25-29","2016","2016","Female","F",139,614214,22.6
,"25-29 years","25-29","2016","2016","Male","M",249,662625,37.6
,"25-29 years","25-29","2017","2017","Female","F",119,634670,18.7
,"25-29 years","25-29","2017","2017","Male","M",247,687255,35.9
,"30-34 years","30-34","1999","1999","Female","F",144,461268,31.2
,"30-34 years","30-34","1999","1999","Male","M",283,528305,53.6
,"30-34 years","30-34","2000","2000","Female","F",133,463953,28.7
,"30-34 years","30-34","2000","2000","Male","M",317,529296,59.9
,"30-34 years","30-34","2001","2001","Female","F",164,482529,34.0
,"30-34 years","30-34","2001","2001","Male","M",288,541981,53.1
,"30-34 years","30-34","2002","2002","Female","F",135,495222,27.3
,"30-34 years","30-34","2002","2002","Male","M",287,549750,52.2
,"30-34 years","30-34","2003","2003","Female","F",155,506202,30.6
,"30-34 years","30-34","2003","2003","Male","M",266,553869,48.0
,"30-34 years","30-34","2004","2004","Female","F",138,513741,26.9
,"30-34 years","30-34","2004","2004","Male","M",289,554203,52.1
,"30-34 years","30-34","2005","2005","Female","F",142,516441,27.5
,"30-34 years","30-34","2005","2005","Male","M",236,549995,42.9
,"30-34 years","30-34","2006","2006","Female","F",175,518177,33.8
,"30-34 years","30-34","2006","2006","Male","M",277,547752,50.6
,"30-34 years","30-34","2007","2007","Female","F",163,520005,31.3
,"30-34 years","30-34","2007","2007","Male","M",216,547857,39.4
,"30-34 years","30-34","2008","2008","Female","F",142,523222,27.1
,"30-34 years","30-34","2008","2008","Male","M",248,552620,44.9
,"30-34 years","30-34","2009","2009","Female","F",183,529244,34.6
,"30-34 years","30-34","2009","2009","Male","M",262,559210,46.9
,"30-34 years","30-34","2010","2010","Female","F",139,536932,25.9
,"30-34 years","30-34","2010","2010","Male","M",269,567516,47.4
,"30-34 years","30-34","2011","2011","Female","F",148,545087,27.2
,"30-34 years","30-34","2011","2011","Male","M",273,582840,46.8
,"30-34 years","30-34","2012","2012","Female","F",166,547744,30.3
,"30-34 years","30-34","2012","2012","Male","M",259,589001,44.0
,"30-34 years","30-34","2013","2013","Female","F",174,553584,31.4
,"30-34 years","30-34","2013","2013","Male","M",290,598775,48.4
,"30-34 years","30-34","2014","2014","Female","F",161,564451,28.5
,"30-34 years","30-34","2014","2014","Male","M",253,603868,41.9
,"30-34 years","30-34","2015","2015","Female","F",175,564089,31.0
,"30-34 years","30-34","2015","2015","Male","M",282,604556,46.6
,"30-34 years","30-34","2016","2016","Female","F",176,561279,31.4
,"30-34 years","30-34","2016","2016","Male","M",285,605346,47.1
,"30-34 years","30-34","2017","2017","Female","F",182,564042,32.3
,"30-34 years","30-34","2017","2017","Male","M",311,615904,50.5
,"35-39 years","35-39","1999","1999","Female","F",199,408513,48.7
