"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code",Deaths,Population,Crude Rate
,"25-29 years","25-29","2004","2004","Male","M",183,571862,32.0
,"25-29 years","25-29","2005","2005","Female","F",17,519368,Unreliable
,"25-29 years","25-29","2005","2005","Male","M",206,580808,35.5
,"25-29 years","25-29","2006","2006","Female","F",18,527272,Unreliable
,"25-29 years","25-29","2006","2006","Male","M",187,588931,31.8
,"25-29 years","25-29","2007","2007","Female","F",23,535851,4.3
,"25-29 years","25-29","2007","2007","Male","M",157,597093,26.3
,"25-29 years","25-29","2008","2008","Female","F",18,545878,Unreliable
,"25-29 years","25-29","2008","2008","Male","M",152,605018,25.1
,"25-29 years","25-29","2009","2009","Female","F",14,554306,Unreliable
,"25-29 years","25-29","2009","2009","Male","M",116,609737,19.0
,"25-29 years","25-29","2010","2010","Female","F",18,558578,Unreliable
,"25-29 years","25-29","2010","2010","Male","M",121,611480,19.8
,"25-29 years","25-29","2011","2011","Female","F",18,561015,Unreliable
,"25-29 years","25-29","2011","2011","Male","M",113,623033,18.1
,"25-29 years","25-29","2012","2012","Female","F",11,558819,Unreliable
,"25-29 years","25-29","2012","2012","Male","M",127,623463,20.4
,"25-29 years","25-29","2013","2013","Female","F",12,565454,Unreliable
,"25-29 years","25-29","2013","2013","Male","M",107,631960,16.9
,"25-29 years","25-29","2014","2014","Female","F",11,580211,Unreliable
,"25-29 years","25-29","2014","2014","Male","M",102,635703,16.0
,"25-29 years","25-29","2015","2015","Female","F",14,595938,Unreliable
,"25-29 years","25-29","2015","2015","Male","M",125,647910,19.3
,"25-29 years","25-29","2016","2016","Female","F",13,614214,Unreliable
,"25-29 years","25-29","2016","2016","Male","M",156,662625,23.5
,"25-29 years","25-29","2017","2017","Female","F",21,634670,3.3
,"25-29 years","25-29","2017","2017","Male","M",143,687255,20.8
,"30-34 years","30-34","1999","1999","Female","F",15,461268,Unreliable
,"30-34 years","30-34","1999","1999","Male","M",68,528305,12.9
,"30-34 years","30-34","2000","2000","Female","F",12,463953,Unreliable
,"30-34 years","30-34","2000","2000","Male","M",81,529296,15.3
,"30-34 years","30-34","2001","2001","Female","F",11,482529,Unreliable
,"30-34 years","30-34","2001","2001","Male","M",78,541981,14.4
,"30-34 years","30-34","2002","2002","Female","F",10,495222,Unreliable
,"30-34 years","30-34","2002","2002","Male","M",88,549750,16.0
,"30-34 years","30-34","2003","2003","Female","F",11,506202,Unreliable
,"30-34 years","30-34","2003","2003","Male","M",107,553869,19.3
,"30-34 years","30-34","2004","2004","Female","F",16,513741,Unreliable
,"30-34 years","30-34","2004","2004","Male","M",90,554203,16.2
,"30-34 years","30-34","2005","2005","Female","F",17,516441,Unreliable
,"30-34 years","30-34","2005","2005","Male","M",123,549995,22.4
,"30-34 years","30-34","2006","2006","Female","F",13,518177,Unreliable
,"30-34 years","30-34","2006","2006","Male","M",95,547752,17.3
,"30-34 years","30-34","2007","2007","Female","F",15,520005,Unreliable
,"30-34 years","30-34","2007","2007","Male","M",108,547857,19.7
,"30-34 years","30-34","2008","2008","Female","F",18,523222,Unreliable
,"30-34 years","30-34","2008","2008","Male","M",102,552620,18.5
,"30-34 years","30-34","2009","2009","Female","F",16,529244,Unreliable
,"30-34 years","30-34","2009","2009","Male","M",97,559210,17.3
,"30-34 years","30-34","2010","2010","Female","F",12,536932,Unreliable
,"30-34 years","30-34","2010","2010","Male","M",98,567516,17.3
,"30-34 years","30-34","2011","2011","Female","F",14,545087,Unreliable
,"30-34 years","30-34","2011","2011","Male","M",82,582840,14.1
,"30-34 years","30-34","2012","2012","Female","F",11,547744,Unreliable
,"30-34 years","30-34","2012","2012","Male","M",87,589001,14.8
,"30-34 years","30-34","2013","2013","Female","F",14,553584,Unreliable
,"30-34 years","30-34","2013","2013","Male","M",85,598775,14.2
,"30-34 years","30-34","2014","2014","Male","M",67,603868,11.1
,"30-34 years","30-34","2015","2015","Male","M",85,604556,14.1
,"30-34 years","30-34","2016","2016","Female","F",19,561279,Unreliable
,"30-34 years","30-34","2016","2016","Male","M",83,605346,13.7
,"30-34 years","30-34","2017","2017","Female","F",19,564042,Unreliable
,"30-34 years","30-34","2017","2017","Male","M",94,615904,15.3
,"35-39 years","35-39","1999","1999","Male","M",42,443697,9.5
,"35-39 years","35-39","2000","2000","Female","F",16,419265,Unreliable
,"35-39 years","35-39","2000","2000","Male","M",45,455133,9.9
,"35-39 years","35-39","2001","2001","Female","F",14,436143,Unreliable
,"35-39 years","35-39","2001","2001","Male","M",54,473985,11.4
,"35-39 years","35-39","2002","2002","Female","F",16,448017,Unreliable
,"35-39 years","35-39","2002","2002","Male","M",58,484280,12.0
,"35-39 years","35-39","2003","2003","Female","F",13,460967,Unreliable
,"35-39 years","35-39","2003","2003","Male","M",72,497282,14.5
,"35-39 years","35-39","2004","2004","Male","M",65,507493,12.8
,"35-39 years","35-39","2005","2005","Female","F",17,483258,Unreliable
,"35-39 years","35-39","2005","2005","Male","M",62,519432,11.9
,"35-39 years","35-39","2006","2006","Female","F",11,494693,Unreliable
,"35-39 years","35-39","2006","2006","Male","M",68,526579,12.9
,"35-39 years","35-39","2007","2007","Female","F",17,503571,Unreliable
,"35-39 years","35-39","2007","2007","Male","M",58,531587,10.9
,"35-39 years","35-39","2008","2008","Male","M",76,535297,14.2
,"35-39 years","35-39","2009","2009","Female","F",11,521162,Unreliable
,"35-39 years","35-39","2009","2009","Male","M",70,537582,13.0
,"35-39 years","35-39","2010","2010","Male","M",57,536895,10.6
,"35-39 years","35-39","2011","2011","Male","M",58,541816,10.7
,"35-39 years","35-39","2012","2012","Male","M",63,542650,11.6
,"35-39 years","35-39","2013","2013","Female","F",13,526368,Unreliable
,"35-39 years","35-39","2013","2013","Male","M",62,545802,11.4
,"35-39 years","35-39","2014","2014","Female","F",16,534153,Unreliable
,"35-39 years","35-39","2014","2014","Male","M",72,551424,13.1
,"35-39 years","35-39","2015","2015","Female","F",12,539152,Unreliable
,"35-39 years","35-39","2015","2015","Male","M",81,562267,14.4
,"35-39 years","35-39","2016","2016","Male","M",96,565292,17.0
,"35-39 years","35-39","2017","2017","Female","F",12,546828,Unreliable
,"35-39 years","35-39","2017","2017","Male","M",91,576703,15.8
,"40-44 years","40-44","1999","1999","Male","M",33,347122,9.5
,"40-44 years","40-44","2000","2000","Female","F",15,347813,Unreliable
,"40-44 years","40-44","2000","2000","Male","M",42,359257,11.7
,"40-44 years","40-44","2001","2001","Female","F",13,368521,Unreliable
,"40-44 years","40-44","2001","2001","Male","M",42,381816,11.0
,"40-44 years","40-44","2002","2002","Female","F",14,384546,Unreliable
,"40-44 years","40-44","2002","2002","Male","M",44,400611,11.0
,"40-44 years","40-44","2003","2003","Female","F",11,400817,Unreliable
,"40-44 years","40-44","2003","2003","Male","M",50,417136,12.0
,"40-44 years","40-44","2004","2004","Male","M",46,435536,10.6
,"40-44 years","40-44","2005","2005","Male","M",45,448313,10.0
,"40-44 years","40-44","2006","2006","Male","M",44,461273,9.5
,"40-44 years","40-44","2007","2007","Female","F",15,448349,Unreliable
,"40-44 years","40-44","2007","2007","Male","M",50,469061,10.7
,"40-44 years","40-44","2008","2008","Female","F",10,459033,Unreliable
,"40-44 years","40-44","2008","2008","Male","M",47,482038,9.8
,"40-44 years","40-44","2009","2009","Male","M",53,491819,10.8
,"40-44 years","40-44","2010","2010","Female","F",12,477903,Unreliable
,"40-44 years","40-44","2010","2010","Male","M",34,502522,6.8
,"40-44 years","40-44","2011","2011","Female","F",11,494429,Unreliable
,"40-44 years","40-44","2011","2011","Male","M",29,516297,5.6
,"40-44 years","40-44","2012","2012","Male","M",50,520679,9.6
,"40-44 years","40-44","2013","2013","Female","F",11,507381,Unreliable
,"40-44 years","40-44","2013","2013","Male","M",49,521146,9.4
,"40-44 years","40-44","2014","2014","Male","M",38,527532,7.2
,"40-44 years","40-44","2015","2015","Male","M",47,527322,8.9
,"40-44 years","40-44","2016","2016","Female","F",10,518323,Unreliable
,"40-44 years","40-44","2016","2016","Male","M",54,521745,10.3
,"40-44 years","40-44","2017","2017","Male","M",62,525617,11.8
,"45-49 years","45-49","1999","1999","Female","F",14,254171,Unreliable
,"45-49 years","45-49","1999","1999","Male","M",26,250940,10.4
,"45-49 years","45-49","2000","2000","Male","M",29,264977,10.9
,"45-49 years","45-49","2001","2001","Male","M",24,284833,8.4
,"45-49 years","45-49","2002","2002","Male","M",31,302942,10.2
,"45-49 years","45-49","2003","2003","Male","M",31,321213,9.7
,"45-49 years","45-49","2004","2004","Male","M",29,338080,8.6
,"45-49 years","45-49","2005","2005","Male","M",27,356237,7.6
,"45-49 years","45-49","2006","2006","Male","M",43,371488,11.6
,"45-49 years","45-49","2007","2007","Male","M",36,387375,9.3
,"45-49 years","45-49","2008","2008","Male","M",24,401500,6.0
,"45-49 years","45-49","2009","2009","Male","M",44,418647,10.5
,"45-49 years","45-49","2010","2010","Male","M",33,428489,7.7
,"45-49 years","45-49","2011","2011","Male","M",33,445762,7.4
,"45-49 years","45-49","2012","2012","Male","M",20,454782,4.4
,"45-49 years","45-49","2013","2013","Male","M",42,467834,9.0
,"45-49 years","45-49","2014","2014","Male","M",30,483295,6.2
,"45-49 years","45-49","2015","2015","Male","M",40,495096,8.1
,"45-49 years","45-49","2016","2016","Male","M",31,496759,6.2
,"45-49 years","45-49","2017","2017","Male","M",46,501648,9.2
,"50-54 years","50-54","1999","1999","Male","M",17,178810,Unreliable
,"50-54 years","50-54","2000","2000","Male","M",12,189131,Unreliable
,"50-54 years","50-54","2001","2001","Male","M",13,207522,Unreliable
,"50-54 years","50-54","2002","2002","Male","M",20,219725,9.1
,"50-54 years","50-54","2003","2003","Male","M",18,233136,Unreliable
,"50-54 years","50-54","2004","2004","Male","M",23,247870,9.3
,"50-54 years","50-54","2005","2005","Male","M",33,264089,12.5
,"50-54 years","50-54","2006","2006","Male","M",24,278972,8.6
,"50-54 years","50-54","2007","2007","Male","M",25,295192,8.5
,"50-54 years","50-54","2008","2008","Male","M",24,312395,7.7
,"50-54 years","50-54","2009","2009","Male","M",23,328866,7.0
