"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code","Race","Race Code",Deaths,Population,Crude Rate
,"30-34 years","30-34","2016","2016","Male","M","Black or African American","2054-5",75,88126,85.1
,"30-34 years","30-34","2016","2016","Male","M","White","2106-3",36,525747,6.8
,"30-34 years","30-34","2017","2017","Female","F","White","2106-3",11,489530,Unreliable
,"30-34 years","30-34","2017","2017","Male","M","Black or African American","2054-5",53,91411,58.0
,"30-34 years","30-34","2017","2017","Male","M","White","2106-3",33,530742,6.2
,"35-39 years","35-39","1999","1999","Female","F","White","2106-3",24,692340,3.5
,"35-39 years","35-39","1999","1999","Male","M","Black or African American","2054-5",46,101878,45.2
,"35-39 years","35-39","1999","1999","Male","M","White","2106-3",42,721168,5.8
,"35-39 years","35-39","2000","2000","Female","F","White","2106-3",13,673816,Unreliable
,"35-39 years","35-39","2000","2000","Male","M","Black or African American","2054-5",44,100788,43.7
,"35-39 years","35-39","2000","2000","Male","M","White","2106-3",28,700696,4.0
,"35-39 years","35-39","2001","2001","Female","F","Black or African American","2054-5",12,99414,Unreliable
,"35-39 years","35-39","2001","2001","Female","F","White","2106-3",11,639166,Unreliable
,"35-39 years","35-39","2001","2001","Male","M","Black or African American","2054-5",42,98133,42.8
,"35-39 years","35-39","2001","2001","Male","M","White","2106-3",38,668054,5.7
,"35-39 years","35-39","2002","2002","Female","F","Black or African American","2054-5",13,96218,Unreliable
,"35-39 years","35-39","2002","2002","Female","F","White","2106-3",10,608907,Unreliable
,"35-39 years","35-39","2002","2002","Male","M","Black or African American","2054-5",66,94772,69.6
,"35-39 years","35-39","2002","2002","Male","M","White","2106-3",43,636915,6.8
,"35-39 years","35-39","2003","2003","Female","F","Black or African American","2054-5",10,93002,Unreliable
,"35-39 years","35-39","2003","2003","Female","F","White","2106-3",16,581368,Unreliable
,"35-39 years","35-39","2003","2003","Male","M","Black or African American","2054-5",72,91686,78.5
,"35-39 years","35-39","2003","2003","Male","M","White","2106-3",40,607925,6.6
,"35-39 years","35-39","2004","2004","Female","F","Black or African American","2054-5",10,89832,Unreliable
,"35-39 years","35-39","2004","2004","Female","F","White","2106-3",10,557000,Unreliable
,"35-39 years","35-39","2004","2004","Male","M","Black or African American","2054-5",52,88565,58.7
,"35-39 years","35-39","2004","2004","Male","M","White","2106-3",29,583340,5.0
,"35-39 years","35-39","2005","2005","Male","M","Black or African American","2054-5",70,86884,80.6
,"35-39 years","35-39","2005","2005","Male","M","White","2106-3",39,568489,6.9
,"35-39 years","35-39","2006","2006","Female","F","Black or African American","2054-5",11,86782,Unreliable
,"35-39 years","35-39","2006","2006","Male","M","Black or African American","2054-5",57,85452,66.7
,"35-39 years","35-39","2006","2006","Male","M","White","2106-3",30,557541,5.4
,"35-39 years","35-39","2007","2007","Female","F","Black or African American","2054-5",10,84288,Unreliable
,"35-39 years","35-39","2007","2007","Female","F","White","2106-3",10,512533,Unreliable
,"35-39 years","35-39","2007","2007","Male","M","Black or African American","2054-5",54,83467,64.7
,"35-39 years","35-39","2007","2007","Male","M","White","2106-3",29,539150,5.4
,"35-39 years","35-39","2008","2008","Male","M","Black or African American","2054-5",41,81224,50.5
,"35-39 years","35-39","2008","2008","Male","M","White","2106-3",27,517603,5.2
,"35-39 years","35-39","2009","2009","Male","M","Black or African American","2054-5",33,78762,41.9
,"35-39 years","35-39","2009","2009","Male","M","White","2106-3",21,494733,4.2
,"35-39 years","35-39","2010","2010","Male","M","Black or African American","2054-5",41,75803,54.1
,"35-39 years","35-39","2010","2010","Male","M","White","2106-3",26,474176,5.5
,"35-39 years","35-39","2011","2011","Female","F","White","2106-3",11,421979,Unreliable
,"35-39 years","35-39","2011","2011","Male","M","Black or African American","2054-5",24,72830,33.0
,"35-39 years","35-39","2011","2011","Male","M","White","2106-3",27,448874,6.0
,"35-39 years","35-39","2012","2012","Female","F","White","2106-3",14,417512,Unreliable
,"35-39 years","35-39","2012","2012","Male","M","Black or African American","2054-5",45,72436,62.1
,"35-39 years","35-39","2012","2012","Male","M","White","2106-3",27,445539,6.1
,"35-39 years","35-39","2013","2013","Male","M","Black or African American","2054-5",41,73086,56.1
,"35-39 years","35-39","2013","2013","Male","M","White","2106-3",22,449590,4.9
,"35-39 years","35-39","2014","2014","Female","F","White","2106-3",11,427817,Unreliable
,"35-39 years","35-39","2014","2014","Male","M","Black or African American","2054-5",52,75213,69.1
,"35-39 years","35-39","2014","2014","Male","M","White","2106-3",30,455992,6.6
,"35-39 years","35-39","2015","2015","Male","M","Black or African American","2054-5",55,77956,70.6
,"35-39 years","35-39","2015","2015","Male","M","White","2106-3",24,468134,5.1
,"35-39 years","35-39","2016","2016","Male","M","Black or African American","2054-5",54,79057,68.3
,"35-39 years","35-39","2016","2016","Male","M","White","2106-3",32,479749,6.7
,"35-39 years","35-39","2017","2017","Female","F","White","2106-3",20,454753,4.4
,"35-39 years","35-39","2017","2017","Male","M","Black or African American","2054-5",50,81583,61.3
,"35-39 years","35-39","2017","2017","Male","M","White","2106-3",28,490770,5.7
,"40-44 years","40-44","1999","1999","Female","F","White","2106-3",18,697834,Unreliable
,"40-44 years","40-44","1999","1999","Male","M","Black or African American","2054-5",35,91743,38.2
,"40-44 years","40-44","1999","1999","Male","M","White","2106-3",38,721199,5.3
,"40-44 years","40-44","2000","2000","Female","F","White","2106-3",15,699052,Unreliable
,"40-44 years","40-44","2000","2000","Male","M","Black or African American","2054-5",40,93956,42.6
,"40-44 years","40-44","2000","2000","Male","M","White","2106-3",29,723976,4.0
,"40-44 years","40-44","2001","2001","Female","F","White","2106-3",23,699068,3.3
,"40-44 years","40-44","2001","2001","Male","M","Black or African American","2054-5",42,95950,43.8
,"40-44 years","40-44","2001","2001","Male","M","White","2106-3",30,724930,4.1
,"40-44 years","40-44","2002","2002","Female","F","Black or African American","2054-5",10,98703,Unreliable
,"40-44 years","40-44","2002","2002","Female","F","White","2106-3",17,689963,Unreliable
,"40-44 years","40-44","2002","2002","Male","M","Black or African American","2054-5",47,96906,48.5
,"40-44 years","40-44","2002","2002","Male","M","White","2106-3",54,716178,7.5
,"40-44 years","40-44","2003","2003","Female","F","White","2106-3",16,678989,Unreliable
,"40-44 years","40-44","2003","2003","Male","M","Black or African American","2054-5",43,97104,44.3
,"40-44 years","40-44","2003","2003","Male","M","White","2106-3",38,703555,5.4
