"Notes","Year","Year Code","Race","Race Code","Sex","Sex Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate
,"1999","1999","White","2106-3","Male","M","85-89 years","85-89",10166,Not Applicable,Not Applicable
,"1999","1999","White","2106-3","Male","M","90-94 years","90-94",5229,Not Applicable,Not Applicable
,"1999","1999","White","2106-3","Male","M","95-99 years","95-99",1514,Not Applicable,Not Applicable
,"1999","1999","White","2106-3","Male","M","100+ years","100+",228,Not Applicable,Not Applicable
,"1999","1999","White","2106-3","Male","M","Not Stated","NS",14,Not Applicable,Not Applicable
,"2000","2000","Black or African American","2054-5","Female","F","< 1 year","1",200,16893,1183.9
,"2000","2000","Black or African American","2054-5","Female","F","1-4 years","1-4",25,73325,34.1
,"2000","2000","Black or African American","2054-5","Female","F","5-9 years","5-9",23,106950,21.5
,"2000","2000","Black or African American","2054-5","Female","F","10-14 years","10-14",20,104650,19.1
,"2000","2000","Black or African American","2054-5","Female","F","15-19 years","15-19",34,88502,38.4
,"2000","2000","Black or African American","2054-5","Female","F","20-24 years","20-24",49,79386,61.7
,"2000","2000","Black or African American","2054-5","Female","F","25-29 years","25-29",75,81564,92.0
,"2000","2000","Black or African American","2054-5","Female","F","30-34 years","30-34",89,91747,97.0
,"2000","2000","Black or African American","2054-5","Female","F","35-39 years","35-39",186,102154,182.1
,"2000","2000","Black or African American","2054-5","Female","F","40-44 years","40-44",319,95863,332.8
,"2000","2000","Black or African American","2054-5","Female","F","45-49 years","45-49",403,79629,506.1
,"2000","2000","Black or African American","2054-5","Female","F","50-54 years","50-54",460,65683,700.3
,"2000","2000","Black or African American","2054-5","Female","F","55-59 years","55-59",537,48705,1102.6
,"2000","2000","Black or African American","2054-5","Female","F","60-64 years ","60-64",598,40306,1483.7
,"2000","2000","Black or African American","2054-5","Female","F","65-69 years","65-69",728,32592,2233.7
,"2000","2000","Black or African American","2054-5","Female","F","70-74 years","70-74",826,27008,3058.4
,"2000","2000","Black or African American","2054-5","Female","F","75-79 years","75-79",1007,21910,4596.1
,"2000","2000","Black or African American","2054-5","Female","F","80-84 years","80-84",1009,14717,6856.0
,"2000","2000","Black or African American","2054-5","Female","F","85-89 years","85-89",937,Not Applicable,Not Applicable
,"2000","2000","Black or African American","2054-5","Female","F","90-94 years","90-94",603,Not Applicable,Not Applicable
,"2000","2000","Black or African American","2054-5","Female","F","95-99 years","95-99",283,Not Applicable,Not Applicable
,"2000","2000","Black or African American","2054-5","Female","F","100+ years","100+",83,Not Applicable,Not Applicable
,"2000","2000","Black or African American","2054-5","Female","F","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"2000","2000","Black or African American","2054-5","Male","M","< 1 year","1",238,17539,1357.0
,"2000","2000","Black or African American","2054-5","Male","M","1-4 years","1-4",36,76306,47.2
,"2000","2000","Black or African American","2054-5","Male","M","5-9 years","5-9",26,110601,23.5
,"2000","2000","Black or African American","2054-5","Male","M","10-14 years","10-14",34,108059,31.5
,"2000","2000","Black or African American","2054-5","Male","M","15-19 years","15-19",150,94001,159.6
,"2000","2000","Black or African American","2054-5","Male","M","20-24 years","20-24",222,81576,272.1
,"2000","2000","Black or African American","2054-5","Male","M","25-29 years","25-29",206,80698,255.3
,"2000","2000","Black or African American","2054-5","Male","M","30-34 years","30-34",231,91219,253.2
,"2000","2000","Black or African American","2054-5","Male","M","35-39 years","35-39",307,100788,304.6
,"2000","2000","Black or African American","2054-5","Male","M","40-44 years","40-44",472,93956,502.4
,"2000","2000","Black or African American","2054-5","Male","M","45-49 years","45-49",590,74716,789.7
,"2000","2000","Black or African American","2054-5","Male","M","50-54 years","50-54",665,58819,1130.6
,"2000","2000","Black or African American","2054-5","Male","M","55-59 years","55-59",694,42344,1639.0
,"2000","2000","Black or African American","2054-5","Male","M","60-64 years ","60-64",756,35571,2125.3
,"2000","2000","Black or African American","2054-5","Male","M","65-69 years","65-69",862,27241,3164.3
,"2000","2000","Black or African American","2054-5","Male","M","70-74 years","70-74",976,19649,4967.2
,"2000","2000","Black or African American","2054-5","Male","M","75-79 years","75-79",1003,14557,6890.2
,"2000","2000","Black or African American","2054-5","Male","M","80-84 years","80-84",776,7974,9731.6
,"2000","2000","Black or African American","2054-5","Male","M","85-89 years","85-89",551,Not Applicable,Not Applicable
,"2000","2000","Black or African American","2054-5","Male","M","90-94 years","90-94",259,Not Applicable,Not Applicable
,"2000","2000","Black or African American","2054-5","Male","M","95-99 years","95-99",93,Not Applicable,Not Applicable
,"2000","2000","Black or African American","2054-5","Male","M","100+ years","100+",23,Not Applicable,Not Applicable
,"2000","2000","Black or African American","2054-5","Male","M","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"2000","2000","White","2106-3","Female","F","< 1 year","1",383,79598,481.2
,"2000","2000","White","2106-3","Female","F","1-4 years","1-4",73,334627,21.8
,"2000","2000","White","2106-3","Female","F","5-9 years","5-9",58,475739,12.2
,"2000","2000","White","2106-3","Female","F","10-14 years","10-14",69,494544,14.0
,"2000","2000","White","2106-3","Female","F","15-19 years","15-19",137,466773,29.4
,"2000","2000","White","2106-3","Female","F","20-24 years","20-24",162,428446,37.8
,"2000","2000","White","2106-3","Female","F","25-29 years","25-29",193,479018,40.3
,"2000","2000","White","2106-3","Female","F","30-34 years","30-34",334,563325,59.3
