"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code","Race","Race Code",Deaths,Population,Crude Rate
,"20-24 years","20-24","2009","2009","Male","M","Black or African American","2054-5",14,95816,Unreliable
,"20-24 years","20-24","2009","2009","Male","M","White","2106-3",131,504641,26.0
,"20-24 years","20-24","2010","2010","Female","F","White","2106-3",39,464787,8.4
,"20-24 years","20-24","2010","2010","Male","M","Black or African American","2054-5",17,97568,Unreliable
,"20-24 years","20-24","2010","2010","Male","M","White","2106-3",164,504159,32.5
,"20-24 years","20-24","2011","2011","Female","F","White","2106-3",47,474883,9.9
,"20-24 years","20-24","2011","2011","Male","M","Black or African American","2054-5",23,104082,22.1
,"20-24 years","20-24","2011","2011","Male","M","White","2106-3",170,513984,33.1
,"20-24 years","20-24","2012","2012","Female","F","White","2106-3",41,476602,8.6
,"20-24 years","20-24","2012","2012","Male","M","Black or African American","2054-5",17,107850,Unreliable
,"20-24 years","20-24","2012","2012","Male","M","White","2106-3",156,515994,30.2
,"20-24 years","20-24","2013","2013","Female","F","White","2106-3",46,467462,9.8
,"20-24 years","20-24","2013","2013","Male","M","Black or African American","2054-5",18,108940,Unreliable
,"20-24 years","20-24","2013","2013","Male","M","White","2106-3",140,508760,27.5
,"20-24 years","20-24","2014","2014","Female","F","White","2106-3",40,455264,8.8
,"20-24 years","20-24","2014","2014","Male","M","Black or African American","2054-5",22,110396,19.9
,"20-24 years","20-24","2014","2014","Male","M","White","2106-3",120,498771,24.1
,"20-24 years","20-24","2015","2015","Female","F","White","2106-3",51,436788,11.7
,"20-24 years","20-24","2015","2015","Male","M","Black or African American","2054-5",22,109089,20.2
,"20-24 years","20-24","2015","2015","Male","M","White","2106-3",127,483006,26.3
,"20-24 years","20-24","2016","2016","Female","F","Black or African American","2054-5",10,92975,Unreliable
,"20-24 years","20-24","2016","2016","Female","F","White","2106-3",33,416039,7.9
,"20-24 years","20-24","2016","2016","Male","M","Black or African American","2054-5",21,104443,20.1
,"20-24 years","20-24","2016","2016","Male","M","White","2106-3",165,463658,35.6
,"20-24 years","20-24","2017","2017","Female","F","White","2106-3",43,402717,10.7
,"20-24 years","20-24","2017","2017","Male","M","Black or African American","2054-5",21,101209,20.7
,"20-24 years","20-24","2017","2017","Male","M","White","2106-3",148,445513,33.2
,"25-29 years","25-29","1999","1999","Female","F","White","2106-3",35,495743,7.1
,"25-29 years","25-29","1999","1999","Male","M","Black or African American","2054-5",13,81895,Unreliable
,"25-29 years","25-29","1999","1999","Male","M","White","2106-3",95,517676,18.4
,"25-29 years","25-29","2000","2000","Female","F","White","2106-3",13,479018,Unreliable
,"25-29 years","25-29","2000","2000","Male","M","Black or African American","2054-5",20,80698,24.8
,"25-29 years","25-29","2000","2000","Male","M","White","2106-3",81,501861,16.1
,"25-29 years","25-29","2001","2001","Male","M","White","2106-3",62,478598,13.0
,"25-29 years","25-29","2002","2002","Female","F","White","2106-3",36,443804,8.1
