"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code",Deaths,Population,Crude Rate
,"30-34 years","30-34","2008","2008","Male","M",89,552620,16.1
,"30-34 years","30-34","2009","2009","Female","F",23,529244,4.3
,"30-34 years","30-34","2009","2009","Male","M",82,559210,14.7
,"30-34 years","30-34","2010","2010","Female","F",17,536932,Unreliable
,"30-34 years","30-34","2010","2010","Male","M",97,567516,17.1
,"30-34 years","30-34","2011","2011","Female","F",21,545087,3.9
,"30-34 years","30-34","2011","2011","Male","M",101,582840,17.3
,"30-34 years","30-34","2012","2012","Female","F",23,547744,4.2
,"30-34 years","30-34","2012","2012","Male","M",116,589001,19.7
,"30-34 years","30-34","2013","2013","Female","F",28,553584,5.1
,"30-34 years","30-34","2013","2013","Male","M",91,598775,15.2
,"30-34 years","30-34","2014","2014","Female","F",26,564451,4.6
,"30-34 years","30-34","2014","2014","Male","M",104,603868,17.2
,"30-34 years","30-34","2015","2015","Female","F",37,564089,6.6
,"30-34 years","30-34","2015","2015","Male","M",114,604556,18.9
,"30-34 years","30-34","2016","2016","Female","F",24,561279,4.3
,"30-34 years","30-34","2016","2016","Male","M",116,605346,19.2
,"30-34 years","30-34","2017","2017","Female","F",33,564042,5.9
,"30-34 years","30-34","2017","2017","Male","M",131,615904,21.3
,"35-39 years","35-39","1999","1999","Female","F",22,408513,5.4
,"35-39 years","35-39","1999","1999","Male","M",140,443697,31.6
,"35-39 years","35-39","2000","2000","Female","F",16,419265,Unreliable
,"35-39 years","35-39","2000","2000","Male","M",115,455133,25.3
,"35-39 years","35-39","2001","2001","Female","F",15,436143,Unreliable
,"35-39 years","35-39","2001","2001","Male","M",82,473985,17.3
,"35-39 years","35-39","2002","2002","Female","F",21,448017,4.7
,"35-39 years","35-39","2002","2002","Male","M",94,484280,19.4
,"35-39 years","35-39","2003","2003","Female","F",20,460967,4.3
,"35-39 years","35-39","2003","2003","Male","M",121,497282,24.3
,"35-39 years","35-39","2004","2004","Female","F",24,470788,5.1
,"35-39 years","35-39","2004","2004","Male","M",110,507493,21.7
,"35-39 years","35-39","2005","2005","Female","F",20,483258,4.1
,"35-39 years","35-39","2005","2005","Male","M",118,519432,22.7
,"35-39 years","35-39","2006","2006","Female","F",19,494693,Unreliable
,"35-39 years","35-39","2006","2006","Male","M",109,526579,20.7
,"35-39 years","35-39","2007","2007","Female","F",21,503571,4.2
,"35-39 years","35-39","2007","2007","Male","M",108,531587,20.3
,"35-39 years","35-39","2008","2008","Female","F",20,512818,3.9
,"35-39 years","35-39","2008","2008","Male","M",134,535297,25.0
,"35-39 years","35-39","2009","2009","Female","F",23,521162,4.4
,"35-39 years","35-39","2009","2009","Male","M",112,537582,20.8
,"35-39 years","35-39","2010","2010","Female","F",24,524886,4.6
,"35-39 years","35-39","2010","2010","Male","M",92,536895,17.1
,"35-39 years","35-39","2011","2011","Female","F",32,527527,6.1
,"35-39 years","35-39","2011","2011","Male","M",100,541816,18.5
,"35-39 years","35-39","2012","2012","Female","F",27,527386,5.1
,"35-39 years","35-39","2012","2012","Male","M",102,542650,18.8
,"35-39 years","35-39","2013","2013","Female","F",24,526368,4.6
,"35-39 years","35-39","2013","2013","Male","M",107,545802,19.6
,"35-39 years","35-39","2014","2014","Female","F",26,534153,4.9
,"35-39 years","35-39","2014","2014","Male","M",109,551424,19.8
,"35-39 years","35-39","2015","2015","Female","F",27,539152,5.0
,"35-39 years","35-39","2015","2015","Male","M",97,562267,17.3
,"35-39 years","35-39","2016","2016","Female","F",29,539148,5.4
,"35-39 years","35-39","2016","2016","Male","M",140,565292,24.8
,"35-39 years","35-39","2017","2017","Female","F",37,546828,6.8
,"35-39 years","35-39","2017","2017","Male","M",171,576703,29.7
,"40-44 years","40-44","1999","1999","Female","F",27,335461,8.0
,"40-44 years","40-44","1999","1999","Male","M",109,347122,31.4
,"40-44 years","40-44","2000","2000","Male","M",94,359257,26.2
,"40-44 years","40-44","2001","2001","Female","F",19,368521,Unreliable
,"40-44 years","40-44","2001","2001","Male","M",82,381816,21.5
,"40-44 years","40-44","2002","2002","Female","F",30,384546,7.8
,"40-44 years","40-44","2002","2002","Male","M",135,400611,33.7
,"40-44 years","40-44","2003","2003","Female","F",20,400817,5.0
,"40-44 years","40-44","2003","2003","Male","M",137,417136,32.8
,"40-44 years","40-44","2004","2004","Female","F",25,418141,6.0
,"40-44 years","40-44","2004","2004","Male","M",118,435536,27.1
,"40-44 years","40-44","2005","2005","Female","F",34,430052,7.9
,"40-44 years","40-44","2005","2005","Male","M",116,448313,25.9
,"40-44 years","40-44","2006","2006","Female","F",22,440260,5.0
,"40-44 years","40-44","2006","2006","Male","M",155,461273,33.6
,"40-44 years","40-44","2007","2007","Female","F",23,448349,5.1
,"40-44 years","40-44","2007","2007","Male","M",143,469061,30.5
,"40-44 years","40-44","2008","2008","Female","F",21,459033,4.6
,"40-44 years","40-44","2008","2008","Male","M",121,482038,25.1
,"40-44 years","40-44","2009","2009","Female","F",32,467482,6.8
,"40-44 years","40-44","2009","2009","Male","M",133,491819,27.0
,"40-44 years","40-44","2010","2010","Female","F",24,477903,5.0
,"40-44 years","40-44","2010","2010","Male","M",123,502522,24.5
,"40-44 years","40-44","2011","2011","Female","F",40,494429,8.1
,"40-44 years","40-44","2011","2011","Male","M",99,516297,19.2
,"40-44 years","40-44","2012","2012","Female","F",22,501073,4.4
,"40-44 years","40-44","2012","2012","Male","M",96,520679,18.4
,"40-44 years","40-44","2013","2013","Female","F",34,507381,6.7
,"40-44 years","40-44","2013","2013","Male","M",105,521146,20.1
,"40-44 years","40-44","2014","2014","Female","F",29,520691,5.6
,"40-44 years","40-44","2014","2014","Male","M",110,527532,20.9
,"40-44 years","40-44","2015","2015","Female","F",27,524194,5.2
,"40-44 years","40-44","2015","2015","Male","M",124,527322,23.5
,"40-44 years","40-44","2016","2016","Female","F",28,518323,5.4
,"40-44 years","40-44","2016","2016","Male","M",132,521745,25.3
,"40-44 years","40-44","2017","2017","Female","F",36,520345,6.9
,"40-44 years","40-44","2017","2017","Male","M",136,525617,25.9
,"45-49 years","45-49","1999","1999","Female","F",14,254171,Unreliable
,"45-49 years","45-49","1999","1999","Male","M",96,250940,38.3
,"45-49 years","45-49","2000","2000","Female","F",18,268369,Unreliable
,"45-49 years","45-49","2000","2000","Male","M",70,264977,26.4
,"45-49 years","45-49","2001","2001","Female","F",12,288248,Unreliable
,"45-49 years","45-49","2001","2001","Male","M",63,284833,22.1
,"45-49 years","45-49","2002","2002","Female","F",30,305864,9.8
,"45-49 years","45-49","2002","2002","Male","M",107,302942,35.3
,"45-49 years","45-49","2003","2003","Female","F",26,322946,8.1
,"45-49 years","45-49","2003","2003","Male","M",106,321213,33.0
,"45-49 years","45-49","2004","2004","Female","F",30,338468,8.9
,"45-49 years","45-49","2004","2004","Male","M",97,338080,28.7
,"45-49 years","45-49","2005","2005","Female","F",30,355083,8.4
,"45-49 years","45-49","2005","2005","Male","M",125,356237,35.1
,"45-49 years","45-49","2006","2006","Female","F",40,368570,10.9
,"45-49 years","45-49","2006","2006","Male","M",142,371488,38.2
,"45-49 years","45-49","2007","2007","Female","F",32,382146,8.4
,"45-49 years","45-49","2007","2007","Male","M",149,387375,38.5
,"45-49 years","45-49","2008","2008","Female","F",34,396559,8.6
,"45-49 years","45-49","2008","2008","Male","M",140,401500,34.9
,"45-49 years","45-49","2009","2009","Female","F",42,412661,10.2
,"45-49 years","45-49","2009","2009","Male","M",150,418647,35.8
,"45-49 years","45-49","2010","2010","Female","F",33,422011,7.8
,"45-49 years","45-49","2010","2010","Male","M",111,428489,25.9
,"45-49 years","45-49","2011","2011","Female","F",38,433224,8.8
,"45-49 years","45-49","2011","2011","Male","M",133,445762,29.8
,"45-49 years","45-49","2012","2012","Female","F",45,440584,10.2
,"45-49 years","45-49","2012","2012","Male","M",124,454782,27.3
,"45-49 years","45-49","2013","2013","Female","F",43,449569,9.6
,"45-49 years","45-49","2013","2013","Male","M",134,467834,28.6
,"45-49 years","45-49","2014","2014","Female","F",48,464720,10.3
,"45-49 years","45-49","2014","2014","Male","M",141,483295,29.2
,"45-49 years","45-49","2015","2015","Female","F",43,477366,9.0
,"45-49 years","45-49","2015","2015","Male","M",123,495096,24.8
,"45-49 years","45-49","2016","2016","Female","F",38,484293,7.8
,"45-49 years","45-49","2016","2016","Male","M",133,496759,26.8
,"45-49 years","45-49","2017","2017","Female","F",37,492268,7.5
,"45-49 years","45-49","2017","2017","Male","M",160,501648,31.9
,"50-54 years","50-54","1999","1999","Female","F",12,189870,Unreliable
,"50-54 years","50-54","1999","1999","Male","M",45,178810,25.2
,"50-54 years","50-54","2000","2000","Female","F",12,200477,Unreliable
,"50-54 years","50-54","2000","2000","Male","M",44,189131,23.3
,"50-54 years","50-54","2001","2001","Female","F",13,217913,Unreliable
,"50-54 years","50-54","2001","2001","Male","M",44,207522,21.2
,"50-54 years","50-54","2002","2002","Female","F",17,230208,Unreliable
,"50-54 years","50-54","2002","2002","Male","M",68,219725,30.9
,"50-54 years","50-54","2003","2003","Female","F",16,243997,Unreliable
,"50-54 years","50-54","2003","2003","Male","M",84,233136,36.0
,"50-54 years","50-54","2004","2004","Female","F",16,259241,Unreliable
,"50-54 years","50-54","2004","2004","Male","M",68,247870,27.4
,"50-54 years","50-54","2005","2005","Female","F",26,273785,9.5
,"50-54 years","50-54","2005","2005","Male","M",82,264089,31.1
,"50-54 years","50-54","2006","2006","Female","F",22,289530,7.6
,"50-54 years","50-54","2006","2006","Male","M",89,278972,31.9
,"50-54 years","50-54","2007","2007","Female","F",21,305632,6.9
,"50-54 years","50-54","2007","2007","Male","M",121,295192,41.0
,"50-54 years","50-54","2008","2008","Female","F",28,322216,8.7
,"50-54 years","50-54","2008","2008","Male","M",89,312395,28.5
,"50-54 years","50-54","2009","2009","Female","F",34,337631,10.1
,"50-54 years","50-54","2009","2009","Male","M",122,328866,37.1
,"50-54 years","50-54","2010","2010","Female","F",38,351333,10.8
,"50-54 years","50-54","2010","2010","Male","M",110,342919,32.1
,"50-54 years","50-54","2011","2011","Female","F",54,367381,14.7
,"50-54 years","50-54","2011","2011","Male","M",121,361428,33.5
,"50-54 years","50-54","2012","2012","Female","F",47,378668,12.4
,"50-54 years","50-54","2012","2012","Male","M",115,374540,30.7
,"50-54 years","50-54","2013","2013","Female","F",40,390072,10.3
,"50-54 years","50-54","2013","2013","Male","M",144,387926,37.1
,"50-54 years","50-54","2014","2014","Female","F",54,409291,13.2
,"50-54 years","50-54","2014","2014","Male","M",118,407770,28.9
,"50-54 years","50-54","2015","2015","Female","F",51,419610,12.2
,"50-54 years","50-54","2015","2015","Male","M",143,420890,34.0
,"50-54 years","50-54","2016","2016","Female","F",39,424416,9.2
,"50-54 years","50-54","2016","2016","Male","M",128,428605,29.9
,"50-54 years","50-54","2017","2017","Female","F",43,431665,10.0
,"50-54 years","50-54","2017","2017","Male","M",154,438278,35.1
,"55-59 years","55-59","1999","1999","Male","M",31,121203,25.6
