"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code","Race","Race Code",Deaths,Population,Crude Rate
,"25-29 years","25-29","2005","2005","Male","M","White","2106-3",73,478282,15.3
,"25-29 years","25-29","2006","2006","Female","F","White","2106-3",22,475937,4.6
,"25-29 years","25-29","2006","2006","Male","M","Black or African American","2054-5",11,79913,Unreliable
,"25-29 years","25-29","2006","2006","Male","M","White","2106-3",87,490367,17.7
,"25-29 years","25-29","2007","2007","Female","F","White","2106-3",18,479241,Unreliable
,"25-29 years","25-29","2007","2007","Male","M","Black or African American","2054-5",17,81256,Unreliable
,"25-29 years","25-29","2007","2007","Male","M","White","2106-3",116,496400,23.4
,"25-29 years","25-29","2008","2008","Female","F","White","2106-3",37,484571,7.6
,"25-29 years","25-29","2008","2008","Male","M","Black or African American","2054-5",16,82802,Unreliable
,"25-29 years","25-29","2008","2008","Male","M","White","2106-3",99,506778,19.5
,"25-29 years","25-29","2009","2009","Female","F","White","2106-3",26,483863,5.4
,"25-29 years","25-29","2009","2009","Male","M","Black or African American","2054-5",10,83768,Unreliable
,"25-29 years","25-29","2009","2009","Male","M","White","2106-3",94,512689,18.3
,"25-29 years","25-29","2010","2010","Female","F","White","2106-3",33,481820,6.8
,"25-29 years","25-29","2010","2010","Male","M","White","2106-3",91,513800,17.7
,"25-29 years","25-29","2011","2011","Female","F","White","2106-3",29,482609,6.0
,"25-29 years","25-29","2011","2011","Male","M","Black or African American","2054-5",15,86822,Unreliable
,"25-29 years","25-29","2011","2011","Male","M","White","2106-3",123,517232,23.8
,"25-29 years","25-29","2012","2012","Female","F","White","2106-3",33,482818,6.8
,"25-29 years","25-29","2012","2012","Male","M","Black or African American","2054-5",12,88714,Unreliable
,"25-29 years","25-29","2012","2012","Male","M","White","2106-3",125,519735,24.1
,"25-29 years","25-29","2013","2013","Female","F","White","2106-3",31,488810,6.3
,"25-29 years","25-29","2013","2013","Male","M","Black or African American","2054-5",15,92342,Unreliable
,"25-29 years","25-29","2013","2013","Male","M","White","2106-3",113,526325,21.5
,"25-29 years","25-29","2014","2014","Female","F","White","2106-3",30,499474,6.0
,"25-29 years","25-29","2014","2014","Male","M","Black or African American","2054-5",18,98496,Unreliable
,"25-29 years","25-29","2014","2014","Male","M","White","2106-3",130,538045,24.2
,"25-29 years","25-29","2015","2015","Female","F","White","2106-3",44,508562,8.7
,"25-29 years","25-29","2015","2015","Male","M","Black or African American","2054-5",10,104800,Unreliable
,"25-29 years","25-29","2015","2015","Male","M","White","2106-3",142,550272,25.8
,"25-29 years","25-29","2016","2016","Female","F","White","2106-3",31,514680,6.0
,"25-29 years","25-29","2016","2016","Male","M","Black or African American","2054-5",26,108461,24.0
,"25-29 years","25-29","2016","2016","Male","M","White","2106-3",137,554048,24.7
,"25-29 years","25-29","2017","2017","Female","F","White","2106-3",34,509333,6.7
,"25-29 years","25-29","2017","2017","Male","M","Black or African American","2054-5",17,112917,Unreliable
,"25-29 years","25-29","2017","2017","Male","M","White","2106-3",150,550941,27.2
,"30-34 years","30-34","1999","1999","Female","F","White","2106-3",46,580844,7.9
,"30-34 years","30-34","1999","1999","Male","M","White","2106-3",145,606405,23.9
,"30-34 years","30-34","2000","2000","Female","F","White","2106-3",31,563325,5.5
,"30-34 years","30-34","2000","2000","Male","M","Black or African American","2054-5",14,91219,Unreliable
,"30-34 years","30-34","2000","2000","Male","M","White","2106-3",129,590356,21.9
,"30-34 years","30-34","2001","2001","Female","F","White","2106-3",27,557522,4.8
,"30-34 years","30-34","2001","2001","Male","M","White","2106-3",130,586075,22.2
,"30-34 years","30-34","2002","2002","Female","F","White","2106-3",38,541343,7.0
,"30-34 years","30-34","2002","2002","Male","M","Black or African American","2054-5",13,88080,Unreliable
,"30-34 years","30-34","2002","2002","Male","M","White","2106-3",121,570768,21.2
,"30-34 years","30-34","2003","2003","Female","F","White","2106-3",41,521197,7.9
,"30-34 years","30-34","2003","2003","Male","M","Black or African American","2054-5",16,85323,Unreliable
,"30-34 years","30-34","2003","2003","Male","M","White","2106-3",146,548331,26.6
,"30-34 years","30-34","2004","2004","Female","F","White","2106-3",43,493900,8.7
,"30-34 years","30-34","2004","2004","Male","M","Black or African American","2054-5",14,82483,Unreliable
,"30-34 years","30-34","2004","2004","Male","M","White","2106-3",111,522670,21.2
,"30-34 years","30-34","2005","2005","Female","F","White","2106-3",30,460053,6.5
,"30-34 years","30-34","2005","2005","Male","M","White","2106-3",90,490228,18.4
,"30-34 years","30-34","2006","2006","Female","F","White","2106-3",28,432159,6.5
,"30-34 years","30-34","2006","2006","Male","M","Black or African American","2054-5",13,75252,Unreliable
,"30-34 years","30-34","2006","2006","Male","M","White","2106-3",96,464104,20.7
,"30-34 years","30-34","2007","2007","Female","F","White","2106-3",28,421061,6.6
,"30-34 years","30-34","2007","2007","Male","M","Black or African American","2054-5",17,74149,Unreliable
,"30-34 years","30-34","2007","2007","Male","M","White","2106-3",102,452712,22.5
,"30-34 years","30-34","2008","2008","Female","F","White","2106-3",31,420432,7.4
